Product Name,Price,Speed
마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,"404,790",5600MHz (PC5-44800)
삼성전자 DDR5-5600,"134,490",5600MHz (PC5-44800)
TeamGroup DDR5-5600 CL46 Elite 서린,"122,000",5600MHz (PC5-44800)
TeamGroup T-CREATE DDR5-5600 CL46 CLASSIC 패키지 서린,"288,000",5600MHz (PC5-44800)
ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린,"350,000",6000MHz (PC5-48000)
마이크론 Crucial DDR5-5600 CL46 대원씨티에스,"125,000",5600MHz (PC5-44800)
ESSENCORE KLEVV DDR5-5600 CL46 파인인포,"118,500",5600MHz (PC5-44800)
G.SKILL DDR5-6000 CL30 RIPJAWS M5 RGB 화이트 패키지,"336,000",6000MHz (PC5-48000)
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 화이트 패키지 서린,"340,000",6000MHz (PC5-48000)
OLOy DDR5-6000 CL32 BLADE RGB MIRROR 패키지 올로이앤코,"197,990",6000MHz (PC5-48000)
SK하이닉스 DDR5-5600,"165,000",5600MHz (PC5-44800)
G.SKILL DDR5-6000 CL32 TRIDENT Z5 NEO RGB J 패키지,"347,000",6000MHz (PC5-48000)
G.SKILL DDR5-7200 CL34 TRIDENT Z5 ROYAL 실버 패키지,"259,000",7200MHz (PC5-57600)
G.SKILL DDR5-6000 CL30 TRIDENT Z5 NEO RGB J 화이트 패키지,"365,315",6000MHz (PC5-48000)
삼성전자 DDR5-4800,"126,310",4800MHz (PC5-38400)
G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지,"192,000",6000MHz (PC5-48000)
PATRIOT DDR5-5600 CL46 EVO,"122,900",5600MHz (PC5-44800)
GeIL DDR5-5600 CL46 PRISTINE V,"62,500",5600MHz (PC5-44800)
ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB 패키지 서린,"347,990",6000MHz (PC5-48000)
GeIL DDR5-6000 CL38 POLARIS RGB White 패키지,"176,000",6000MHz (PC5-48000)
ESSENCORE KLEVV DDR5-6000 CL30 BOLT V 패키지 서린,"163,990",6000MHz (PC5-48000)
TeamGroup DDR5-4800 CL40 Elite 서린,"120,500",4800MHz (PC5-38400)
TeamGroup T-Force DDR5-5600 CL36 Delta RGB 화이트 패키지 서린,"323,810",5600MHz (PC5-44800)
GeIL DDR5-4800 CL40 PRISTINE V,"59,340",4800MHz (PC5-38400)
G.SKILL DDR5-7200 CL34 TRIDENT Z5 RGB J 실버 패키지,"226,718",7200MHz (PC5-57600)
