Product Name,Socket_type,Price,Memory_Type,Memory_Speed,Size
MSI MAG B760M 박격포 맥스 WIFI,1700,"214,000",DDR5,7000MHz,M-ATX
ASUS PRIME H610M-K D4 인텍앤컴퍼니,1700,"97,830",DDR4,3200MHz,M-ATX
ASUS TUF Gaming B760M-PLUS II 코잇,1700,"197,890",DDR5,7800MHz,M-ATX
GIGABYTE B760M AORUS ELITE 피씨디렉트,1700,"188,660",DDR5,7800MHz,M-ATX
ASUS ROG STRIX B760-G GAMING WIFI 코잇,1700,"231,460",DDR5,7800MHz,M-ATX
MSI PRO B760M-A WIFI,1700,"169,000",DDR5,6800MHz,M-ATX
GIGABYTE B760M DS3H D4 피씨디렉트,1700,"137,970",DDR4,5333MHz,M-ATX
MSI PRO B760M-A DDR4 II,1700,"149,000",DDR4,5333MHz,M-ATX
MSI MAG B760M 박격포 II,1700,"195,000",DDR5,7800MHz,M-ATX
GIGABYTE B760M E 피씨디렉트,1700,"126,990",DDR5,8000MHz,M-ATX
MSI PRO H610M-C EX,1700,"109,000",DDR5,5600MHz,M-ATX
ASUS PRIME H610M-CS D4 코잇,1700,"88,720",DDR4,3200MHz,M-ATX
GIGABYTE Z790 AORUS ELITE 피씨디렉트,1700,"337,340",DDR5,7600MHz,ATX
ASRock B760M Pro RS D5 에즈윈,1700,"177,380",DDR5,7200MHz,M-ATX
GIGABYTE B760M DS3H 피씨디렉트,1700,"152,820",DDR5,7600MHz,M-ATX
BIOSTAR H610MH D4 이엠텍,1700,"90,000",DDR4,3200MHz,M-ATX
ASUS TUF Gaming Z790-PLUS WIFI 인텍앤컴퍼니,1700,"523,000",DDR5,7200MHz,ATX
ASRock B760M PG LIGHTNING/D4 에즈윈,1700,"140,610",DDR4,5333MHz,M-ATX
GIGABYTE B760M DS3H 제이씨현,1700,"156,980",DDR5,7600MHz,M-ATX
MSI MAG Z790 토마호크 맥스 WIFI,1700,"369,000",DDR5,7800MHz,ATX
MSI PRO H610M-G DDR4,1700,"98,990",DDR4,3200MHz,M-ATX
GIGABYTE H610M K D4 피씨디렉트,1700,"82,870",DDR4,3200MHz,M-ATX
MSI PRO H610M-E DDR4,1700,"89,000",DDR4,3200MHz,M-ATX
ASUS PRIME Z790-P-CSM 코잇,1700,"332,640",DDR5,7200MHz,ATX
GIGABYTE B760M AORUS ELITE X AX 제이씨현,1700,"238,990",DDR5,8266MHz,M-ATX
GIGABYTE B760M DS3H D4 제이씨현,1700,"140,830",DDR4,5333MHz,M-ATX
GIGABYTE B760M AORUS ELITE AX 피씨디렉트,1700,"218,500",DDR5,7800MHz,M-ATX
ASUS PRIME H770-PLUS 인텍앤컴퍼니,1700,"231,320",DDR5,7200MHz,ATX
ASUS PRIME Z790M-PLUS-CSM 코잇,1700,"308,760",DDR5,7200MHz,M-ATX
GIGABYTE H510M H 듀러블에디션 제이씨현,1200,"95,000",DDR4,3200MHz,M-ATX
